region,demographic-type,demographic,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
00,,,0.19150870198842818,0.17034220214920268,0.15302118814006427,0.13346558928386057,0.129799507799753,0.12830110484529406,0.12567205110093085,0.12541411437649852,0.12672354373765068,0.12508324433938492,0.1218803212319346,0.1151055055383392,0.10825367270980009,0.10733719727237913,0.1035222843361619,0.09052435122076824,0.09155809043394741
01,,,0.1866789656159547,0.16446903696727103,0.14895876349477907,0.1234649537124504,0.1205945085824559,0.12102879434030878,0.12083375976529186,0.11461146114611462,0.11409713995599932,0.11839272901219804,0.11088089407923651,0.10057264539149953,0.0955642443036268,0.09178789745533811,0.09165141150399846,0.07473594633828903,0.07879703633013904
02,,,,,,,,,,,,,,,,0.10510901399284087,0.12171575216913112,0.11983937758815409,0.12784371909000988
04,,,0.20177155036863623,0.17275269802645093,0.14413390663390663,0.11137029053119268,0.10714224850457574,0.10873470784498246,0.1055602257715864,0.10678897106340203,0.10883320225924073,0.10981509352827348,0.10994265518615409,0.1052827020568956,0.10025239185302577,0.09857442064725357,0.09952044619354167,0.0914490504527236,0.09397025655483507
05,,,0.20186915887850468,0.182814640829908,0.17521669018343075,0.15077389327849333,0.14205173557373424,0.14307922935983566,0.14118036039014714,0.1405644714997233,0.14209631728045327,0.13888280394304492,0.136495744239153,0.12431019459773453,0.11511717744012362,0.11266243811881188,0.1098105230191043,0.09630242825607065,0.09849508006945784
06,,,0.237639216086706,0.20995013788684921,0.1894478927322569,0.1714298554752016,0.16563958322558572,0.16249951679616528,0.162002567394095,0.16456214970869054,0.16886670443249713,0.16317023540227035,0.16361988412771383,0.15695998630167393,0.1512077118065711,0.1511468227370073,0.14326643673790837,0.12744180340159855,0.12781241841107
08,,,0.2038122383539681,0.18280203319083044,0.16253663301856072,0.13788500853227906,0.13411240957150808,0.12202029356075932,0.12183139777759211,0.12226909994767138,0.12169767078317961,0.12182306408302489,0.1197824402125775,0.1124769840113391,0.10596469495199752,0.10532634177831636,0.09998156384670338,0.09261536816213037,0.0905632273636796
09,,,0.14964345637583892,0.13171746052375072,0.11994272584995505,0.10625044748335362,0.10722217967373822,0.11004313933247559,0.112209457654288,0.10774746802690914,0.10788302848233638,0.10511709245742093,0.10783459045597543,0.09396165561727289,0.09039529349550503,0.08692210723813433,0.08889294514921968,0.07940022944958779,0.0806485709453746
10,,,0.13200280112044818,0.11714334646343552,,,,0.08619112940100594,,,,0.07669298875329027,0.07929104477611941,0.07208984671422067,0.06292289790113348,0.06106754555441906,0.06357090601055022,0.061856002060793405,0.06039175441727646
11,,,,,,,,,,,,,,,,0.07267393126571668,0.0704967182562191,0.05692276228781785,0.059204660286512514
