region,demographic-type,demographic,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
00,,,0.9729249459591516,0.928070662479242,0.9110313052483068,0.8639209935138095,0.8185836120391294,0.8107257554896534,0.8015139457712257,0.805023467954181,0.7739813972102554,0.7533407014065575,0.7373917599505272,0.7200542855992301,0.6983063326034711
01,,,1.0338148998618832,0.9998771907286753,0.96864754276912,0.9132545245654802,0.8877951481959724,0.8684400010344633,0.8512439207612505,0.8402517536163866,0.8101635038721685,0.8067953345227225,0.7799226590309514,0.7632150656185623,0.7224892420706625
04,,,0.9500744943199713,0.8979527588099137,0.8635740088292223,0.7995218823744261,0.7487459544233342,0.7670622841302177,0.7497801569623331,0.7537196079621274,0.7269135993835493,0.7051134174916146,0.677936032631858,0.6705866167500344,0.6473658251343113
05,,,1.06670788669006,0.9984767071161198,1.0090516641396354,0.9661162533709876,0.91729177110945,0.9020577835979071,0.894939052687328,0.9106884241240116,0.9010482570117485,0.8338752922300277,0.8395740330479441,0.8025721066283544,0.7832246141529279
06,,,1.0464129048830402,0.9925312516619954,0.9721391663013902,0.9269614009856654,0.8785866617810387,0.8662146078964804,0.8639788627137144,0.8648910347560128,0.8331149810636604,0.8051314612677004,0.791779608210667,0.7812187072373044,0.7613423355772749
08,,,0.9818660551085119,0.9407615642057787,0.9208365081678735,0.8764509874520543,0.8266546647177972,0.7918013676404592,0.7857214663583475,0.8078096086289772,0.7487935091726775,0.739205774533786,0.6989556490193275,0.6835643866308992,0.6763701188064524
09,,,0.9063877161640731,0.8525331933626278,0.846566526477413,0.8112474001735079,0.7933114620973974,0.7790196598627591,0.7869173562707956,0.7875906679642154,0.7483320027450286,0.6974445810201679,0.7239445832555786,0.677290920735352,0.672051716160458
10,,,0.8299172870062467,0.792964082736672,,,,0.7062688554135275,,,,0.6079232777351118,0.6297299493494954,0.6074115659798051,0.568649199196677
12,,,0.819537431179548,0.7790301356478295,0.7717335283018785,0.7251563645452431,0.6986333342774422,0.6921190693709738,0.6898222698004963,0.6906684782807895,0.6587689400478131,0.6467388417434559,0.63585160146004,0.6159441074372686,0.6074296957720371
13,,,0.9103448351631476,0.870802519088477,0.8445830839012841,0.7901244970581992,0.7403080269006789,0.7437538957993387,0.7303410995858305,0.727648350596129,0.7076039408804038,0.6774503446428592,0.6603912139682789,0.6539332590212474,0.6236889027460447
15,,,,,,,,,0.683256411909289,,0.6575233815216435,,0.6182075101774281,,
16,,,1.1410085020053746,1.094700579948052,1.0376978373933867,0.944754685480629,0.9005978739813233,0.8785632180882607,0.8545653585886243,0.8794879447347264,0.8811699373072992,0.8661837897633122,0.8398807396591251,0.7952859725101459,0.8180924411085617
17,,,0.9141825058995665,0.8884130498594298,0.8810296373601233,0.8366239785937954,0.7878130375954941,0.7913644449439986,0.7845487116952089,0.8023791730391492,0.7598584479908865,0.7370882251267257,0.7365898093522889,0.7208231700671266,0.6906615763125787
18,,,1.0291777021822002,0.9854157808852944,0.9681061908072942,0.8682201732388215,0.7943165577735513,0.8055146248417798,0.7998087463545988,0.8169276588254167,0.7653525802281783,0.7581116228678533,0.7503793846758581,0.7240575168559027,0.7111153574605391
19,,,1.1060827427798317,1.0214105459123675,,0.9914525247236259,0.9340096180459776,0.9141454838660977,0.8999566833912089,0.8963490918190867,0.8526260639415847,0.8481077846234771,0.8191949271742807,0.7860999772532028,0.8105057793765221
20,,,1.0945191348042924,1.0322838701195063,1.0066291293130931,0.9845760613223073,,0.8994594968922569,0.8776234414491834,0.867120710210389,0.8673051302403497,0.8424640537931394,0.8420239236798568,0.8066731326447246,0.7853948558168087
21,,,1.0170470306636001,0.9847337913326459,0.9679262459102077,0.9328143059476645,0.90541567172396,0.8751740021917556,0.8744250921870965,0.8609409898226776,0.8646444223868951,0.8145625394718292,0.8066623489398707,0.7746118558561363,0.7507935020299552
22,,,0.908247281125445,0.8681060263863805,0.8482055660736705,0.8256841542915909,0.7856112242491148,0.7592363672904756,0.762453986431243,0.7466749590557382,0.7391565452661114,0.7276858319304135,0.6758945024999278,0.6551164515909671,0.6448122492281033
23,,,,,,,,,,,,,,0.8979426292433791,
24,,,0.8798389669899486,0.8301935729014422,0.7976828854126918,0.7712817219300024,0.7380612992550127,0.7004709431999327,0.7040329774032119,0.7251284415000836,0.6835992885166091,0.6507215978473723,0.6182686211870396,0.6147197446441565,0.5910150277035024
